Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
AK Wiesbaden/ Schierstein,#NAME?,FD,,strasse,473,0.977,462,9,2,391,77,5
w Nordgoltern,ö Everloh,WB,http://bvwp-projekte.de/strasse/B65-G40-NI-T2-NI/B65-G40-NI-T2-NI.html,strasse,116,0.672,78,31,7,77,31,8
Schwörstadt -  Tiengen,(2. Fahrbahn),WB*,http://bvwp-projekte.de/strasse/A98-G100-BW-T3-BW/A98-G100-BW-T3-BW.html,strasse,286,0.899,257,24,5,215,57,14
Bau von sieben 2. Schleusenkammern an der Mosel,,VB,http://bvwp-projekte.de/wasserstrasse/w28/w28.html,wasser,103,0.524,54,37,12,24,20,59
Verlängerung der Neckarschleusen von Mannheim bis Plochingen,,VB,http://bvwp-projekte.de/wasserstrasse/w29/w29.html,wasser,215,0.577,124,65,26,36,41,138
VDE 17 (Hannover - Magdeburg - Berlin),,FD,,wasser,123,0.585,72,38,13,28,26,69
Vertiefung des NOK,,VB-E,http://bvwp-projekte.de/wasserstrasse/w02/w02.html,wasser,344,0.93,320,13,11,97,82,165
Ausbau der Donau im Abschnitt Straubing-Vilshofen (Variante A),,VB,http://bvwp-projekte.de/wasserstrasse/w31/w31.html,wasser,133,0.301,40,79,14,22,24,87
Fahrrinnenvertiefung des Untermains bis Aschaffenburg,,VB-E,http://bvwp-projekte.de/wasserstrasse/w30/w30.html,wasser,114,0.491,56,33,25,21,18,75
Ausbau des Elbe-Lübeck-Kanals,,VB,http://bvwp-projekte.de/wasserstrasse/w33/w33.html,wasser,139,0.475,66,55,18,27,39,73
Aubau der Havel-Oder-Wassestraße,,VB,http://bvwp-projekte.de/wasserstrasse/w37/w37.html,wasser,127,0.583,74,36,17,23,28,76
Fahrrinnenanpassung der Unter- und Außenelbe,,FD,,wasser,283,0.629,178,94,11,85,75,123
Knoten Frankfurt,,VB-E,http://bvwp-projekte.de/schiene/K-001-V01/K-001-V01.html,schiene,191,0.953,182,4,5,164,23,4
Knoten Hamburg,,VB-E,http://bvwp-projekte.de/schiene/K-002-V01/K-002-V01.html,schiene,200,0.94,188,6,6,165,27,8
Knoten Köln,,VB-E,http://bvwp-projekte.de/schiene/K-003-V01/K-003-V01.html,schiene,271,0.937,254,7,10,219,48,4
Knoten München,,VB-E,http://bvwp-projekte.de/schiene/K-005-V01/K-005-V01.html,schiene,156,0.859,134,17,5,138,14,4
AD Hannover-W,,VB,,strasse,572,0.731,418,99,55,430,114,28
AK Hannover-Buchholz,,VB,http://bvwp-projekte.de/strasse/A2-G11-NI-T6-NI/A2-G11-NI-T6-NI.html,strasse,703,0.676,475,137,91,518,141,44
AK Osnabrück-S,,VB,http://bvwp-projekte.de/strasse/A30-G10-NI-NW-T3-NI/A30-G10-NI-NW-T3-NI.html,strasse,367,0.722,265,55,47,261,84,22
AD Salzgitter,,FD,,strasse,492,0.608,299,99,94,257,159,76
AK Oberhausen,,VB,http://bvwp-projekte.de/strasse/A3-G70-NW-T3-NW/A3-G70-NW-T3-NW.html,strasse,198,0.823,163,26,9,174,17,7
AD Bottrop,,VB,http://bvwp-projekte.de/strasse/A2-G10-NW/A2-G10-NW.html,strasse,267,0.693,185,53,29,197,58,12
AK Herne,,VB,http://bvwp-projekte.de/strasse/A43-G30-NW-T5-NW/A43-G30-NW-T5-NW.html,strasse,354,0.876,310,27,17,288,58,8
AK Dortmund/Unna,n AS Unna-Zentrum,VB,http://bvwp-projekte.de/strasse/A1-G100-NW-T1-NW/A1-G100-NW-T1-NW.html,strasse,409,0.804,329,55,25,317,82,10
AK Moers (A 40),,VB,http://bvwp-projekte.de/strasse/A57-G50-NW-T1-NW/A57-G50-NW-T1-NW.html,strasse,275,0.822,226,33,16,214,56,5
AK Duisburg-N (A 42),,VB,http://bvwp-projekte.de/strasse/A59-G70-NW-T3-NW/A59-G70-NW-T3-NW.html,strasse,234,0.803,188,30,16,174,49,11
AK Kaiserberg (A 40),,VB,http://bvwp-projekte.de/strasse/A3-G60-NW-T1-NW/A3-G60-NW-T1-NW.html,strasse,572,0.857,490,44,38,469,74,29
AK Westhofen,,VB,http://bvwp-projekte.de/strasse/A1-G60-NW-T1-NW/A1-G60-NW-T1-NW.html,strasse,377,0.828,312,43,22,306,60,11
AK Wuppertal-N,,VB,http://bvwp-projekte.de/strasse/A1-G50-NW/A1-G50-NW.html,strasse,378,0.783,296,51,31,295,68,15
AK Kaarst,,VB,http://bvwp-projekte.de/strasse/A57-G30-NW/A57-G30-NW.html,strasse,453,0.848,384,41,28,340,102,11
AK Hilden,,VB,http://bvwp-projekte.de/strasse/A3-G20-NW-T3-NW/A3-G20-NW-T3-NW.html,strasse,581,0.835,485,59,37,476,97,8
AK Köln-N (A 57),,FD,,strasse,712,0.83,591,64,57,562,138,12
AK Köln-S (A 555),,VB,http://bvwp-projekte.de/strasse/A4-G70-NW-T2-NW/A4-G70-NW-T2-NW.html,strasse,636,0.858,546,55,35,526,103,7
AK Köln-Godorf (A 555),,WB*,http://bvwp-projekte.de/strasse/A553-G10-NW-T1-NW/A553-G10-NW-T1-NW.html,strasse,222,0.775,172,35,15,171,47,4
AK Bonn/N (A 555),,WB*,http://bvwp-projekte.de/strasse/A565-G10-NW-T3-NW/A565-G10-NW-T3-NW.html,strasse,459,0.837,384,47,28,388,62,9
AK Bad Homburg,,VB,http://bvwp-projekte.de/strasse/A5-G20-HE-T6-HE/A5-G20-HE-T6-HE.html,strasse,576,0.83,478,63,35,472,93,11
NWK Frankfurt,,VB,http://bvwp-projekte.de/strasse/A5-G20-HE-T8-HE/A5-G20-HE-T8-HE.html,strasse,644,0.859,553,49,42,554,76,14
Wiesbadener Kreuz,,WB,http://bvwp-projekte.de/strasse/A003-G20-HE-T2-HE/A003-G20-HE-T2-HE.html,strasse,270,0.804,217,37,16,224,40,6
AK Offenbacher Kreuz,,VB,http://bvwp-projekte.de/strasse/A3-G30-HE-T07-HE/A3-G30-HE-T07-HE.html,strasse,750,0.845,634,76,40,623,102,25
AK Darmstadt,,VB,http://bvwp-projekte.de/strasse/A5-G20-HE-T13-HE/A5-G20-HE-T13-HE.html,strasse,699,0.805,563,79,57,576,101,22
AK Frankenthal,,FD-E,,strasse,390,0.664,259,62,69,227,123,40
AK Nürnberg-O,,VB,http://bvwp-projekte.de/strasse/A006-G020-BY/A006-G020-BY.html,strasse,861,0.806,694,77,90,598,207,56
AK Walldorf,AS Walldorf/ Wiesloch,VB,http://bvwp-projekte.de/strasse/A5-G30-BW-T2-BW/A5-G30-BW-T2-BW.html,strasse,968,0.816,790,99,79,723,212,33
AS Thalmässing (A 9),,WB,http://bvwp-projekte.de/strasse/B131-G010-BY-T01-BY/B131-G010-BY-T01-BY.html,strasse,103,0.388,40,40,23,48,31,24
AD Köln-Lind(A 59),,WB*,http://bvwp-projekte.de/strasse/A553-G10-NW-T3-NW/A553-G10-NW-T3-NW.html,strasse,223,0.83,185,22,16,165,48,10
