FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Reise BA Bergner nach Usbekistan";01.01.2012;31.12.2012;2650 ;2650 ;Usbekistan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 18. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;10949 ;10949 ;Russland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 19. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;8178 ;8178 ;Russland;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Notarkosten Silute";01.01.2012;31.12.2012;304 ;304 ;Litauen;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 8. Deutsch-Kirgisische Regierungskommission";01.01.2012;31.12.2012;7517 ;7517 ;Kirgisistan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: 10. Deutsch-Kasachische Regierungskommission";01.01.2012;31.12.2012;5206 ;5206 ;Kasachstan;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Vorbereitung 20. Deutsch-Russische Regierungskommission";01.01.2012;31.12.2012;542 ;542 ;Russland;
2512BDV01;MII6;BVA;IIA5;Direkte Projektförderung;Institutionelle Förderung des BdV im Haushaltsjahr 2012;01.01.2012;31.12.2012;889975 ;859537 ;Deutschland;
2512FM01;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Offene Türen - Polen; Tschechen und Deutsche"" vom 15. - 20.01.2012";;;14112 ;14112 ;Deutschland;
2512FM010;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Schlesische Begegnungen"" vom 04.03. - 11.03.2012";;;19753 ;17207 ;Deutschland;
2512FM011;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Kommunalpolitische Themen der Vertriebenen"" vom 24.02. - 26.02.2012";;;5013 ;4675 ;Polen;
2512FM012;MII6;BVA;IIA5;Direkte Projektförderung;XXI. Brünner Symposium;;;15500 ;12726 ;Tschechien;
2512FM013;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Deutsche und Polen - Wege der gemeinsamen Nachbarschaft in Europa"" vom 11. - 16.03.2012";;;18037 ;17990 ;Deutschland;
2512FM014;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Verständigung durch Verbindungen"" vom 1.03. - 16.03.2012";;;10220 ;10220 ;Deutschland;
2512FM015;MII6;BVA;IIA5;Direkte Projektförderung;Verständigungsfahrt nach Bielit/Biala vom 11. - 17.04.2012;;;19907 ;16913 ;Polen;
2512FM016;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Grenze und Grenzüberschreitung"" vom 11.03. - 15.03.2012";;;7509 ;6163 ;Deutschland;
2512FM017;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Sudetendeutsche Identitäten. Erinnerungskultur oder Konfliktquelle"" vom 18.03. - 23.03.2012";;;9960 ;8780 ;Deutschland;
2512FM018;MII6;BVA;IIA5;Direkte Projektförderung;Politische Weiterbildungswoche vom 04.04. - 09.04.2012 im Deutsch-Tschechischen Begegnungs- und Kulturzentrum Sankt Adalbert im Kloster Rohr;;;16900 ;13020 ;Deutschland;
2512FM019;MII6;BVA;IIA5;Direkte Projektförderung;"Seminar: ""Begegnung und Verständigung"" vom 17.04. - 20.04.2012";;;3330 ;3330 ;Deutschland;
